fecha,hora,tipo_vehiculo,placa,barra_acceso,engomado,bitacora,foto,capacidad_sobrepasada,descanso_oficial,vacacional,año
2021-01-02,11:30:22,sedan,HFZ-756-L,2,sí,no,HFZ756L_113022.png,no,no,no,2021
2021-01-02,12:09:54,moto,FZH-814,1,sí,no,FZH814_120954.png,no,no,no,2021
2021-01-02,12:23:24,moto,FAF-285,1,sí,no,FAF285_122324.png,no,no,no,2021
2021-01-02,12:23:31,sedan,ZAL-149-A,2,sí,sí,ZAL149A_122331.png,no,no,no,2021
2021-01-02,12:30:08,sedan,ZZS-230-Z,1,sí,no,ZZS230Z_123008.png,no,no,no,2021
2021-01-02,12:37:26,sedan,HLZ-316-H,2,sí,no,HLZ316H_123726.png,no,no,no,2021
2021-01-02,12:53:40,sedan,SLL-254-Z,2,sí,no,SLL254Z_125340.png,no,no,no,2021
2021-01-02,13:06:54,moto,HSF-109,1,sí,no,HSF109_130654.png,no,no,no,2021
2021-01-02,13:10:33,moto,SLS-357,1,sí,no,SLS357_131033.png,no,no,no,2021
2021-01-02,13:30:04,sedan,AZA-092-L,1,sí,no,AZA092L_133004.png,no,no,no,2021
2021-01-02,13:32:18,sedan,LHH-628-F,1,sí,no,LHH628F_133218.png,no,no,no,2021
2021-01-02,13:36:02,sedan,LFZ-607-L,2,sí,sí,LFZ607L_133602.png,no,no,no,2021
2021-01-02,13:43:18,sedan,ZLA-475-H,2,sí,no,ZLA475H_134318.png,no,no,no,2021
2021-01-02,13:51:45,moto,LHA-595,1,no,sí,LHA595_135145.png,no,no,no,2021
2021-01-02,13:59:29,moto,FZL-791,1,sí,no,FZL791_135929.png,no,no,no,2021
2021-01-02,14:18:03,sedan,ZSZ-947-F,2,no,sí,ZSZ947F_141803.png,no,no,no,2021
2021-01-02,14:31:06,sedan,AFA-137-Z,2,sí,no,AFA137Z_143106.png,no,no,no,2021
2021-01-04,06:00:19,sedan,SSL-510-A,2,sí,no,SSL510A_060019.png,no,no,no,2021
2021-01-04,06:19:29,moto,FHS-876,1,sí,no,FHS876_061929.png,no,no,no,2021
2021-01-04,06:24:26,sedan,FFS-345-Z,1,sí,no,FFS345Z_062426.png,no,no,no,2021
2021-01-04,06:27:04,sedan,LZL-090-S,2,sí,no,LZL090S_062704.png,no,no,no,2021
2021-01-04,06:49:29,sedan,FAH-088-H,1,sí,no,FAH088H_064929.png,no,no,no,2021
2021-01-04,06:55:54,sedan,LLF-041-Z,1,sí,sí,LLF041Z_065554.png,no,no,no,2021
2021-01-04,07:02:38,sedan,LLA-563-F,1,sí,no,LLA563F_070238.png,no,no,no,2021
2021-01-04,07:13:36,sedan,AFS-569-F,2,no,sí,AFS569F_071336.png,no,no,no,2021
2021-01-04,07:23:04,sedan,HFZ-756-L,1,no,sí,HFZ756L_072304.png,no,no,no,2021
2021-01-04,07:23:30,moto,HAF-807,2,sí,no,HAF807_072330.png,no,no,no,2021
2021-01-04,07:44:43,sedan,SHF-623-A,1,no,sí,SHF623A_074443.png,no,no,no,2021
2021-01-04,07:53:45,moto,AHF-938,2,sí,no,AHF938_075345.png,no,no,no,2021
2021-01-04,08:02:47,sedan,SAS-447-A,1,no,sí,SAS447A_080247.png,no,no,no,2021
2021-01-04,08:08:13,carga,ZS-4572-L,1,no,sí,ZS4572L_080813.png,no,no,no,2021
2021-01-04,08:23:06,sedan,LZZ-033-H,1,sí,no,LZZ033H_082306.png,no,no,no,2021
2021-01-04,09:17:55,sedan,FHH-349-A,2,sí,no,FHH349A_091755.png,no,no,no,2021
2021-01-04,09:30:24,sedan,FHH-020-A,2,no,sí,FHH020A_093024.png,no,no,no,2021
2021-01-04,09:33:33,moto,HSL-737,1,sí,no,HSL737_093333.png,no,no,no,2021
2021-01-04,11:23:48,camioneta,ZSL-063-Z,2,sí,no,ZSL063Z_112348.png,no,no,no,2021
2021-01-04,12:08:06,carga,HA-9616-A,1,sí,no,HA9616A_120806.png,no,no,no,2021
2021-01-04,12:14:09,moto,FZA-841,1,sí,no,FZA841_121409.png,no,no,no,2021
2021-01-04,12:18:17,moto,SHH-471,1,sí,sí,SHH471_121817.png,no,no,no,2021
2021-01-04,12:26:29,sedan,HFF-424-Z,2,sí,no,HFF424Z_122629.png,no,no,no,2021
2021-01-04,12:32:49,moto,HZF-108,1,sí,no,HZF108_123249.png,no,no,no,2021
2021-01-04,12:36:53,sedan,ZSL-841-Z,2,sí,no,ZSL841Z_123653.png,no,no,no,2021
2021-01-04,12:37:58,moto,FLF-454,1,sí,no,FLF454_123758.png,no,no,no,2021
2021-01-04,13:17:58,sedan,AHH-539-F,2,sí,no,AHH539F_131758.png,no,no,no,2021
2021-01-04,13:22:12,sedan,LZA-574-F,2,sí,no,LZA574F_132212.png,no,no,no,2021
2021-01-04,13:25:26,moto,FZA-841,2,sí,no,FZA841_132526.png,no,no,no,2021
2021-01-04,13:25:29,moto,SLZ-291,1,sí,no,SLZ291_132529.png,no,no,no,2021
2021-01-04,13:30:32,moto,ASF-505,1,sí,no,ASF505_133032.png,no,no,no,2021
2021-01-04,13:30:35,moto,HHL-336,1,sí,no,HHL336_133035.png,no,no,no,2021
2021-01-04,13:36:04,moto,HZS-429,1,sí,no,HZS429_133604.png,no,no,no,2021
2021-01-04,13:41:16,sedan,AHH-058-S,1,sí,no,AHH058S_134116.png,no,no,no,2021
2021-01-04,13:44:10,carga,LL-0291-A,2,sí,no,LL0291A_134410.png,no,no,no,2021
2021-01-04,14:02:19,sedan,LLZ-233-A,1,no,sí,LLZ233A_140219.png,no,no,no,2021
2021-01-04,14:38:58,sedan,LHS-420-A,1,sí,no,LHS420A_143858.png,no,no,no,2021
2021-01-04,14:39:58,sedan,ZAH-459-H,1,sí,no,ZAH459H_143958.png,no,no,no,2021
2021-01-04,15:07:09,moto,LZH-171,2,sí,no,LZH171_150709.png,no,no,no,2021
2021-01-04,16:47:44,moto,LFL-349,2,sí,no,LFL349_164744.png,no,no,no,2021
2021-01-04,16:51:24,sedan,SLA-252-Z,2,sí,sí,SLA252Z_165124.png,no,no,no,2021
2021-01-04,17:12:25,camioneta,HSF-434-H,2,sí,no,HSF434H_171225.png,no,no,no,2021
2021-01-04,17:26:43,moto,FSA-113,1,sí,no,FSA113_172643.png,no,no,no,2021
2021-01-04,19:43:03,sedan,HZZ-016-A,1,sí,no,HZZ016A_194303.png,no,no,no,2021
2021-01-04,19:59:33,camioneta,FSL-377-F,2,sí,no,FSL377F_195933.png,no,no,no,2021
2021-01-04,20:17:46,sedan,FZF-356-L,2,sí,no,FZF356L_201746.png,no,no,no,2021
2021-01-04,21:04:25,sedan,FAA-812-H,2,no,sí,FAA812H_210425.png,no,no,no,2021
2021-01-04,21:15:52,moto,HFA-019,2,sí,no,HFA019_211552.png,no,no,no,2021
2021-01-04,21:42:17,moto,AAH-864,1,sí,no,AAH864_214217.png,no,no,no,2021
2021-01-04,21:46:20,carga,HH-3664-S,1,no,sí,HH3664S_214620.png,no,no,no,2021
2021-01-04,21:53:06,moto,HSL-933,2,sí,no,HSL933_215306.png,no,no,no,2021
2021-01-04,21:54:15,sedan,HLS-922-Z,1,sí,no,HLS922Z_215415.png,no,no,no,2021
2021-01-04,22:20:28,moto,FAA-956,2,sí,no,FAA956_222028.png,no,no,no,2021
2021-01-04,22:20:50,moto,ZSZ-969,1,sí,no,ZSZ969_222050.png,no,no,no,2021
2021-01-04,22:23:51,camioneta,SSF-926-L,2,sí,no,SSF926L_222351.png,no,no,no,2021
2021-01-05,06:17:12,carga,FH-7060-H,1,sí,no,FH7060H_061712.png,no,no,no,2021
2021-01-05,06:17:57,moto,ZZZ-677,2,sí,no,ZZZ677_061757.png,no,no,no,2021
2021-01-05,06:21:50,moto,HAA-724,1,sí,no,HAA724_062150.png,no,no,no,2021
2021-01-05,06:26:30,moto,LSF-483,1,sí,no,LSF483_062630.png,no,no,no,2021
2021-01-05,06:26:40,moto,HLH-105,2,sí,no,HLH105_062640.png,no,no,no,2021
2021-01-05,06:26:59,sedan,SHZ-734-L,2,sí,no,SHZ734L_062659.png,no,no,no,2021
2021-01-05,06:30:56,sedan,HZS-422-A,2,sí,no,HZS422A_063056.png,no,no,no,2021
2021-01-05,06:34:09,moto,LAL-625,2,sí,no,LAL625_063409.png,no,no,no,2021
2021-01-05,06:36:13,sedan,ZAH-459-H,2,sí,no,ZAH459H_063613.png,no,no,no,2021
2021-01-05,06:38:57,moto,SAL-267,2,sí,no,SAL267_063857.png,no,no,no,2021
2021-01-05,06:44:08,sedan,HFL-651-S,1,sí,no,HFL651S_064408.png,no,no,no,2021
2021-01-05,06:49:44,sedan,ZZL-149-S,2,sí,no,ZZL149S_064944.png,no,no,no,2021
2021-01-05,06:50:59,sedan,LLF-253-L,2,sí,sí,LLF253L_065059.png,no,no,no,2021
2021-01-05,06:53:28,moto,LHZ-626,1,sí,no,LHZ626_065328.png,no,no,no,2021
2021-01-05,07:00:09,moto,FFA-714,1,sí,no,FFA714_070009.png,no,no,no,2021
2021-01-05,07:04:15,sedan,SSL-510-A,2,no,sí,SSL510A_070415.png,no,no,no,2021
2021-01-05,07:12:45,sedan,ALS-546-F,1,sí,no,ALS546F_071245.png,no,no,no,2021
2021-01-05,07:14:57,carga,ZS-1437-Z,1,sí,no,ZS1437Z_071457.png,no,no,no,2021
2021-01-05,07:16:15,moto,SSL-616,2,sí,no,SSL616_071615.png,no,no,no,2021
2021-01-05,07:21:52,moto,AHH-730,2,sí,no,AHH730_072152.png,no,no,no,2021
2021-01-05,07:23:00,sedan,ZFH-454-F,1,sí,no,ZFH454F_072300.png,no,no,no,2021
2021-01-05,07:26:43,sedan,AAA-675-A,1,sí,no,AAA675A_072643.png,no,no,no,2021
2021-01-05,07:29:58,sedan,FFS-345-Z,2,sí,no,FFS345Z_072958.png,no,no,no,2021
2021-01-05,07:32:45,sedan,SLA-212-Z,2,sí,no,SLA212Z_073245.png,no,no,no,2021
2021-01-05,07:44:03,camioneta,AFL-694-L,2,sí,no,AFL694L_074403.png,no,no,no,2021
2021-01-05,07:47:36,sedan,AAF-270-L,2,no,sí,AAF270L_074736.png,no,no,no,2021
2021-01-05,07:50:26,sedan,HLZ-316-H,1,sí,no,HLZ316H_075026.png,no,no,no,2021
2021-01-05,07:58:56,sedan,AAH-317-F,2,sí,no,AAH317F_075856.png,no,no,no,2021
2021-01-05,09:21:41,sedan,HZF-330-H,2,sí,no,HZF330H_092141.png,no,no,no,2021
2021-01-05,09:24:27,sedan,ZLF-204-F,1,sí,sí,ZLF204F_092427.png,no,no,no,2021
2021-01-05,09:55:01,sedan,LZS-618-F,2,sí,no,LZS618F_095501.png,no,no,no,2021
2021-01-05,10:29:46,sedan,AHA-123-F,2,sí,no,AHA123F_102946.png,no,no,no,2021
2021-01-05,10:42:57,camioneta,ZFS-432-L,2,sí,no,ZFS432L_104257.png,no,no,no,2021
2021-01-05,10:52:24,camioneta,HLS-582-A,2,sí,no,HLS582A_105224.png,no,no,no,2021
2021-01-05,11:18:16,sedan,HSA-418-H,1,sí,no,HSA418H_111816.png,no,no,no,2021
2021-01-05,11:52:13,moto,ALF-868,2,sí,no,ALF868_115213.png,no,no,no,2021
2021-01-05,12:10:33,moto,SFS-920,2,sí,no,SFS920_121033.png,no,no,no,2021
2021-01-05,12:21:51,moto,LFH-952,1,sí,no,LFH952_122151.png,no,no,no,2021
2021-01-05,12:31:21,sedan,AAA-445-H,1,sí,no,AAA445H_123121.png,no,no,no,2021
2021-01-05,12:38:05,sedan,HAS-677-F,1,sí,no,HAS677F_123805.png,no,no,no,2021
2021-01-05,12:42:12,camioneta,ALA-332-F,1,sí,no,ALA332F_124212.png,no,no,no,2021
2021-01-05,12:43:51,moto,ZAH-201,2,sí,no,ZAH201_124351.png,no,no,no,2021
2021-01-05,12:47:03,moto,HSF-809,2,sí,no,HSF809_124703.png,no,no,no,2021
2021-01-05,12:48:13,sedan,ZAL-560-A,2,sí,no,ZAL560A_124813.png,no,no,no,2021
2021-01-05,12:49:01,moto,HZZ-531,2,sí,no,HZZ531_124901.png,no,no,no,2021
2021-01-05,12:56:03,sedan,ZHA-822-Z,2,sí,no,ZHA822Z_125603.png,no,no,no,2021
2021-01-05,13:08:20,sedan,FAA-114-A,1,sí,no,FAA114A_130820.png,no,no,no,2021
2021-01-05,13:29:16,sedan,LSZ-570-A,1,sí,no,LSZ570A_132916.png,no,no,no,2021
2021-01-05,13:31:52,sedan,LZL-090-S,1,sí,no,LZL090S_133152.png,no,no,no,2021
2021-01-05,13:32:12,moto,HFA-019,2,sí,no,HFA019_133212.png,no,no,no,2021
2021-01-05,13:35:17,moto,SLA-827,1,sí,no,SLA827_133517.png,no,no,no,2021
2021-01-05,13:35:55,camioneta,ASA-154-H,1,no,sí,ASA154H_133555.png,no,no,no,2021
2021-01-05,13:38:55,camioneta,SSS-802-F,2,sí,no,SSS802F_133855.png,no,no,no,2021
2021-01-05,13:47:23,carga,HA-4201-L,2,sí,no,HA4201L_134723.png,no,no,no,2021
2021-01-05,14:28:56,camioneta,ZFA-112-H,2,sí,no,ZFA112H_142856.png,no,no,no,2021
2021-01-05,16:06:07,moto,FZS-577,1,no,sí,FZS577_160607.png,no,no,no,2021
2021-01-05,16:57:27,sedan,LAZ-614-A,1,sí,no,LAZ614A_165727.png,no,no,no,2021
2021-01-05,17:12:50,sedan,ZFS-528-Z,1,sí,no,ZFS528Z_171250.png,no,no,no,2021
2021-01-05,17:42:56,moto,ASF-505,2,sí,no,ASF505_174256.png,no,no,no,2021
2021-01-05,17:43:27,sedan,FZS-452-Z,1,sí,no,FZS452Z_174327.png,no,no,no,2021
2021-01-05,18:41:35,moto,HHZ-186,2,sí,no,HHZ186_184135.png,no,no,no,2021
2021-01-05,19:02:38,sedan,SLA-212-Z,1,sí,no,SLA212Z_190238.png,no,no,no,2021
2021-01-05,19:26:00,sedan,AFS-576-L,1,sí,no,AFS576L_192600.png,no,no,no,2021
2021-01-05,19:57:21,carga,HH-3664-S,2,sí,no,HH3664S_195721.png,no,no,no,2021
2021-01-05,20:20:27,sedan,HFZ-255-A,1,no,sí,HFZ255A_202027.png,no,no,no,2021
2021-01-05,20:57:29,moto,HHZ-186,1,sí,no,HHZ186_205729.png,no,no,no,2021
2021-01-05,21:11:32,sedan,FFA-237-L,2,sí,no,FFA237L_211132.png,no,no,no,2021
2021-01-05,21:11:40,sedan,AFS-569-F,1,sí,no,AFS569F_211140.png,no,no,no,2021
2021-01-05,21:44:32,sedan,LZH-019-H,2,sí,sí,LZH019H_214432.png,no,no,no,2021
2021-01-05,21:47:00,sedan,HAZ-682-L,2,sí,no,HAZ682L_214700.png,no,no,no,2021
2021-01-05,21:54:30,moto,ZZS-301,2,sí,no,ZZS301_215430.png,no,no,no,2021
2021-01-05,22:07:58,sedan,FAZ-544-L,1,sí,no,FAZ544L_220758.png,no,no,no,2021
2021-01-05,22:13:05,moto,HZZ-531,1,sí,no,HZZ531_221305.png,no,no,no,2021
2021-01-06,06:00:11,sedan,HSH-688-S,2,sí,no,HSH688S_060011.png,no,no,no,2021
2021-01-06,06:02:30,sedan,AHF-165-Z,1,sí,no,AHF165Z_060230.png,no,no,no,2021
2021-01-06,06:13:38,sedan,LHS-549-F,2,sí,no,LHS549F_061338.png,no,no,no,2021
2021-01-06,06:26:22,sedan,ALA-004-A,2,no,sí,ALA004A_062622.png,no,no,no,2021
2021-01-06,06:27:52,sedan,SHH-282-F,2,sí,no,SHH282F_062752.png,no,no,no,2021
2021-01-06,06:35:01,sedan,ZZF-661-A,1,sí,no,ZZF661A_063501.png,no,no,no,2021
2021-01-06,06:56:01,sedan,SSL-283-Z,1,sí,no,SSL283Z_065601.png,no,no,no,2021
2021-01-06,06:59:30,sedan,LZZ-928-L,2,sí,no,LZZ928L_065930.png,no,no,no,2021
2021-01-06,07:20:12,sedan,ALA-004-A,2,sí,no,ALA004A_072012.png,no,no,no,2021
2021-01-06,07:45:09,sedan,ZFA-630-F,1,sí,no,ZFA630F_074509.png,no,no,no,2021
2021-01-06,07:50:43,sedan,FZL-953-Z,2,no,sí,FZL953Z_075043.png,no,no,no,2021
2021-01-06,07:51:22,sedan,ZLA-475-H,1,sí,no,ZLA475H_075122.png,no,no,no,2021
2021-01-06,07:52:38,sedan,ZZS-230-Z,2,sí,no,ZZS230Z_075238.png,no,no,no,2021
2021-01-06,09:09:22,sedan,HHS-151-A,1,sí,sí,HHS151A_090922.png,no,no,no,2021
2021-01-06,09:09:26,sedan,FZZ-465-H,2,sí,no,FZZ465H_090926.png,no,no,no,2021
2021-01-06,11:20:02,sedan,AAA-675-A,2,sí,no,AAA675A_112002.png,no,no,no,2021
2021-01-06,11:26:25,sedan,SLL-806-L,1,sí,no,SLL806L_112625.png,no,no,no,2021
2021-01-06,12:01:58,moto,FZS-035,1,sí,no,FZS035_120158.png,no,no,no,2021
2021-01-06,12:05:25,moto,AZL-429,1,sí,no,AZL429_120525.png,no,no,no,2021
2021-01-06,12:21:10,sedan,HAF-901-Z,2,no,sí,HAF901Z_122110.png,no,no,no,2021
2021-01-06,12:21:36,moto,FSZ-063,2,sí,no,FSZ063_122136.png,no,no,no,2021
2021-01-06,12:28:06,moto,AAH-864,1,no,sí,AAH864_122806.png,no,no,no,2021
2021-01-06,12:28:27,sedan,AHS-876-H,1,sí,no,AHS876H_122827.png,no,no,no,2021
2021-01-06,12:29:59,carga,FZ-6883-Z,1,sí,no,FZ6883Z_122959.png,no,no,no,2021
2021-01-06,12:32:37,sedan,SHZ-734-L,1,sí,no,SHZ734L_123237.png,no,no,no,2021
2021-01-06,12:41:38,sedan,SSL-510-A,1,sí,no,SSL510A_124138.png,no,no,no,2021
2021-01-06,12:43:58,sedan,HAS-218-H,2,no,sí,HAS218H_124358.png,no,no,no,2021
2021-01-06,12:44:32,moto,HHZ-739,2,sí,no,HHZ739_124432.png,no,no,no,2021
2021-01-06,12:47:34,moto,HSF-809,2,sí,no,HSF809_124734.png,no,no,no,2021
2021-01-06,13:08:08,moto,LFS-622,1,sí,no,LFS622_130808.png,no,no,no,2021
2021-01-06,13:10:20,moto,SLH-997,2,sí,no,SLH997_131020.png,no,no,no,2021
2021-01-06,13:28:34,sedan,FFA-237-L,2,sí,no,FFA237L_132834.png,no,no,no,2021
2021-01-06,13:32:25,sedan,HAZ-682-L,2,sí,no,HAZ682L_133225.png,no,no,no,2021
2021-01-06,13:34:56,sedan,AAF-436-L,1,sí,no,AAF436L_133456.png,no,no,no,2021
2021-01-06,13:40:44,sedan,ALZ-300-F,1,sí,no,ALZ300F_134044.png,no,no,no,2021
2021-01-06,13:41:12,moto,ALH-537,2,sí,no,ALH537_134112.png,no,no,no,2021
2021-01-06,13:43:32,moto,HSF-109,1,sí,no,HSF109_134332.png,no,no,no,2021
2021-01-06,13:53:12,moto,FLF-551,2,sí,no,FLF551_135312.png,no,no,no,2021
2021-01-06,14:26:40,carga,ZS-4572-L,1,sí,no,ZS4572L_142640.png,no,no,no,2021
2021-01-06,15:07:54,moto,LFZ-498,2,sí,no,LFZ498_150754.png,no,no,no,2021
2021-01-06,16:03:28,moto,ZHF-073,1,sí,no,ZHF073_160328.png,no,no,no,2021
2021-01-06,16:13:13,moto,HSZ-491,2,sí,no,HSZ491_161313.png,no,no,no,2021
2021-01-06,16:24:45,moto,AHH-730,2,sí,no,AHH730_162445.png,no,no,no,2021
2021-01-06,17:25:41,sedan,FZH-348-A,2,sí,no,FZH348A_172541.png,no,no,no,2021
2021-01-06,17:58:37,sedan,LZZ-033-H,2,sí,no,LZZ033H_175837.png,no,no,no,2021
2021-01-06,18:00:36,moto,HZZ-531,1,sí,no,HZZ531_180036.png,no,no,no,2021
2021-01-06,18:34:34,sedan,LLH-679-H,1,no,sí,LLH679H_183434.png,no,no,no,2021
2021-01-06,18:54:52,moto,SLA-986,2,sí,no,SLA986_185452.png,no,no,no,2021
2021-01-06,19:57:39,moto,HFF-855,1,sí,sí,HFF855_195739.png,no,no,no,2021
2021-01-06,20:15:04,sedan,HAZ-682-L,1,sí,no,HAZ682L_201504.png,no,no,no,2021
2021-01-06,20:40:32,moto,ZZF-283,2,sí,sí,ZZF283_204032.png,no,no,no,2021
2021-01-06,21:07:50,moto,ZZL-980,1,sí,no,ZZL980_210750.png,no,no,no,2021
2021-01-06,21:13:40,sedan,AAL-058-F,1,sí,no,AAL058F_211340.png,no,no,no,2021
2021-01-06,21:15:04,sedan,AFL-799-Z,1,sí,no,AFL799Z_211504.png,no,no,no,2021
2021-01-06,21:16:27,sedan,LAL-894-Z,2,sí,no,LAL894Z_211627.png,no,no,no,2021
2021-01-06,21:16:37,moto,HHA-411,2,sí,sí,HHA411_211637.png,no,no,no,2021
2021-01-06,21:23:38,moto,AHF-858,2,sí,no,AHF858_212338.png,no,no,no,2021
2021-01-06,21:38:34,sedan,ZAL-560-A,2,sí,no,ZAL560A_213834.png,no,no,no,2021
2021-01-06,21:39:07,sedan,LHF-871-H,2,sí,no,LHF871H_213907.png,no,no,no,2021
2021-01-06,21:46:04,sedan,HFZ-756-L,1,sí,no,HFZ756L_214604.png,no,no,no,2021
2021-01-06,21:53:31,sedan,HAF-809-Z,2,sí,no,HAF809Z_215331.png,no,no,no,2021
2021-01-06,21:54:56,moto,ZHF-073,2,sí,no,ZHF073_215456.png,no,no,no,2021
2021-01-06,21:55:50,sedan,HAS-833-F,2,sí,no,HAS833F_215550.png,no,no,no,2021
2021-01-06,22:00:00,sedan,SLL-806-L,2,sí,no,SLL806L_220000.png,no,no,no,2021
2021-01-06,22:06:52,sedan,AAF-391-Z,2,no,sí,AAF391Z_220652.png,no,no,no,2021
2021-01-06,22:16:01,sedan,SAS-515-L,2,sí,no,SAS515L_221601.png,no,no,no,2021
2021-01-06,22:17:19,sedan,SLA-212-Z,2,sí,no,SLA212Z_221719.png,no,no,no,2021
2021-01-06,22:20:54,sedan,LZS-618-F,1,sí,no,LZS618F_222054.png,no,no,no,2021
2021-01-06,22:22:41,sedan,FHH-020-A,2,sí,no,FHH020A_222241.png,no,no,no,2021
2021-01-06,22:27:23,moto,SSF-253,1,sí,no,SSF253_222723.png,no,no,no,2021
2021-01-07,06:01:17,sedan,FLL-449-Z,1,sí,no,FLL449Z_060117.png,no,no,no,2021
2021-01-07,06:03:50,sedan,FLH-485-S,2,sí,no,FLH485S_060350.png,no,no,no,2021
2021-01-07,06:14:31,sedan,HZF-330-H,2,sí,no,HZF330H_061431.png,no,no,no,2021
2021-01-07,06:26:35,sedan,LLA-563-F,1,sí,no,LLA563F_062635.png,no,no,no,2021
2021-01-07,06:29:36,sedan,HAS-218-H,1,sí,no,HAS218H_062936.png,no,no,no,2021
2021-01-07,06:38:24,sedan,FFF-834-L,2,sí,no,FFF834L_063824.png,no,no,no,2021
2021-01-07,06:40:05,sedan,LAL-486-H,1,sí,no,LAL486H_064005.png,no,no,no,2021
2021-01-07,06:40:27,sedan,LSL-294-F,2,sí,no,LSL294F_064027.png,no,no,no,2021
2021-01-07,06:55:14,carga,HH-3664-S,2,sí,no,HH3664S_065514.png,no,no,no,2021
2021-01-07,07:01:33,moto,LSL-104,1,sí,no,LSL104_070133.png,no,no,no,2021
2021-01-07,07:03:11,sedan,AFA-137-Z,1,no,sí,AFA137Z_070311.png,no,no,no,2021
2021-01-07,07:16:15,sedan,ZAS-019-L,1,sí,no,ZAS019L_071615.png,no,no,no,2021
2021-01-07,07:18:16,moto,FSL-474,2,sí,no,FSL474_071816.png,no,no,no,2021
2021-01-07,07:18:31,moto,ZFZ-023,1,no,sí,ZFZ023_071831.png,no,no,no,2021
2021-01-07,07:28:49,sedan,FLL-736-A,1,sí,no,FLL736A_072849.png,no,no,no,2021
2021-01-07,07:47:31,sedan,ZSS-403-L,1,sí,no,ZSS403L_074731.png,no,no,no,2021
2021-01-07,07:48:24,camioneta,SZZ-039-H,1,sí,no,SZZ039H_074824.png,no,no,no,2021
2021-01-07,07:55:27,sedan,SSH-235-Z,2,no,sí,SSH235Z_075527.png,no,no,no,2021
2021-01-07,07:55:59,carga,HA-9616-A,1,sí,no,HA9616A_075559.png,no,no,no,2021
2021-01-07,07:59:37,moto,SFS-917,2,sí,no,SFS917_075937.png,no,no,no,2021
2021-01-07,08:03:12,carga,FL-2744-L,1,sí,no,FL2744L_080312.png,no,no,no,2021
2021-01-07,08:27:42,sedan,HHS-863-A,2,sí,no,HHS863A_082742.png,no,no,no,2021
2021-01-07,11:23:23,sedan,SSL-070-S,2,sí,no,SSL070S_112323.png,no,no,no,2021
2021-01-07,11:39:42,moto,FAS-542,2,sí,no,FAS542_113942.png,no,no,no,2021
2021-01-07,12:07:52,moto,LFZ-498,2,sí,no,LFZ498_120752.png,no,no,no,2021
2021-01-07,12:08:33,sedan,LLA-563-F,2,no,sí,LLA563F_120833.png,no,no,no,2021
2021-01-07,12:10:37,sedan,FFA-237-L,1,sí,no,FFA237L_121037.png,no,no,no,2021
